project,sha,author,commit_date,is_bug
'testproject','658206235a08be17eb7969eb4b1f4580653c71ba','Kevin Sawicki','2012-11-27','False'
'testproject','96cb1b3d5d7ee8120b12d8629f3f30ba75a4d8ac','Kevin Sawicki','2012-11-27','False'
'testproject','90a2bf0229e1f8dbf746e87d845bf8b938c420dd','Kevin Sawicki','2012-11-27','False'
'testproject','08227e3ecc9c05c298aad2ef6b207cc36e6b77e2','Kevin Sawicki','2012-11-27','False'
'testproject','ca46dd2cc081f6d647a26f1b2bc1edb533a1b15c','Kevin Sawicki','2012-11-27','False'
'testproject','92f9f9a9adbf443d6a4ff0abe631ae80936b812e','Kevin Sawicki','2012-11-21','False'
'testproject','afa6973beae706813189f83d1bc0fdb638e652e0','Kevin Sawicki','2012-11-20','False'
'testproject','ecb86f2340bca88763769e883e60e94b26351401','Kevin Sawicki','2012-11-20','False'
'testproject','de346de92fdc7704f9bab9a319e85a9664d96ac3','Kevin Sawicki','2012-11-19','False'
'testproject','f2c7a14e19382c80f616f5b2964a3b48faa8870a','Kevin Sawicki','2012-11-15','False'
'testproject','d938a774b2098ca83a631a93b4d02ffd4a26acf3','Artur Termenji','2012-11-15','True'
'testproject','0279f1eb7160df73c582b1799e46325fe14ba82a','Kevin Sawicki','2012-11-15','False'
'testproject','e1abf01ad72d72bde4aabfa67eb68bdfc5aabea1','Kevin Sawicki','2012-11-15','False'
'testproject','bd4e6fb6ab4c3e63ea5c2790cd3b19e4342ec4f4','Kevin Sawicki','2012-11-15','False'
'testproject','3bf67870bdb6c0b0ad6d7d1fe2341978f31525ad','Kevin Sawicki','2012-11-14','False'
'testproject','a541e9124d880d2e307f99c830fde720ef0a1a2e','Kevin Sawicki','2012-11-14','False'
'testproject','2e801599338cb29e6c114daf44fd85dd7d3574b9','Kevin Sawicki','2012-11-08','False'
'testproject','082a39d18aed3d7baf994570cf8519b58d10bc11','Kevin Sawicki','2012-11-08','False'
'testproject','f6737b81ef6a62acad953d56029e6e0baafd1121','Kevin Sawicki','2012-11-03','False'
'testproject','4586cb3161bf38c5e2c78ed619767a711306491e','Kevin Sawicki','2012-11-01','False'
'testproject','c0084cb6773d670874a6fb045bede2fc57ed1636','Kevin Sawicki','2012-10-31','False'
'testproject','703c7964beb423b58b1a74878f2667c8bdde46a1','Kevin Sawicki','2012-10-29','False'
'testproject','11e96c21b0391ec67d8e8b85b9dd405faed7a89f','Kevin Sawicki','2012-10-29','False'
'testproject','206fe02c32ecc9cce1f3c60074aad820da3da0b8','Kevin Sawicki','2012-10-26','False'
'testproject','f9df76d1bd9f60669c750d0cbcc9a49bfe75c3f2','Kevin Sawicki','2012-10-23','False'
'testproject','6ad8caab77b67bef886024de5e7daad6ba979065','Kevin Sawicki','2012-10-22','False'
'testproject','73ffa8150a50e1499e2299ec4a2f5b2822be45ac','Kevin Sawicki','2012-10-22','False'
'testproject','47068178b0883872f6ed79d47b71e14975c1ed53','Kevin Sawicki','2012-10-22','False'
'testproject','336b5df191bde16bea58f5928a47463a863c14f0','Kevin Sawicki','2012-10-22','False'
'testproject','dd0cd0f554f244e708bee73d02d4792a885cc768','Kevin Sawicki','2012-10-22','False'
'testproject','9e3594e667e3bdaa157b106d86811e73cc936a26','Kevin Sawicki','2012-10-22','False'
'testproject','50eed5040bbc2df65cdb12b32b697264813e58fc','Kevin Sawicki','2012-10-22','False'
'testproject','114d0e1f272098c8e60d04ac316a9236e33d4468','Kevin Sawicki','2012-10-22','False'
'testproject','ce07f857a762a2bb1d68b9e2f980b5e7b72ac876','Kevin Sawicki','2012-10-22','False'
'testproject','9ba2dc9b13c3f9b656080e69ddba4ee2f7b2c65a','Kevin Sawicki','2012-10-22','False'
'testproject','32b3bba1fd56c427edca15c32f3aee2558a35c2b','Kevin Sawicki','2012-10-22','False'
'testproject','20fbc8068ef0c173af3fa3d34915cf0e5285f3b8','Kevin Sawicki','2012-10-22','False'
'testproject','5cbbb2a6eb5ccbbdd890830d67aa6a73314b9af9','Kevin Sawicki','2012-10-19','False'
