project, sha, language, file_name, is_test,bracket_diff,isExceptionPatch, method_name,total_add,total_del,throw Adds,catch Dels,throw Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,exception Adds,raise Dels
'testproject','00a943e076e6ea02d6101d260c942f685872b16c','java','app/src/main/java/com/github/mobile/ui/issue/IssuesViewActivity.java','False','0','True','onCreate','3','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','00a943e076e6ea02d6101d260c942f685872b16c','java','app/src/main/java/com/github/mobile/ui/issue/IssuesViewActivity.java','False','0','True','onPrepareOptionsMenu','5','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','00a943e076e6ea02d6101d260c942f685872b16c','java','app/src/main/java/com/github/mobile/ui/issue/IssuesViewActivity.java','False','0','True','checkCollaboratorStatus','17','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','0cd1e8d12085642d2b732bf896f161a18d4dca98','java','app/src/main/java/com/github/mobile/util/HtmlUtils.java','False','0','True','TagHandler','6','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','015e7fb27e08e8458326292897b692e6b1437300','java','app/src/main/java/com/github/mobile/util/HtmlUtils.java','False','0','True','ListSeparator','1','4',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','015e7fb27e08e8458326292897b692e6b1437300','java','app/src/main/java/com/github/mobile/util/HtmlUtils.java','False','0','True','TagHandler','8','1',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','43e298d39f8302e8e9f3b967547925c0280841b8','java','app/src/main/java/com/github/mobile/core/search/SearchUserService.java','False','0','True','searchUsers','1','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','498c32b6f4e9f382eb61374135b73662fc34f31a','java','app/src/main/java/com/github/mobile/util/AvatarLoader.java','False','0','True','deleteCachedUserAvatars','2','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','498c32b6f4e9f382eb61374135b73662fc34f31a','java','app/src/main/java/com/github/mobile/util/AvatarLoader.java','False','0','True','fetchAvatar','0','4',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','12d92424c192e01d79a22f60812dc069edcd99dd','java','app/src/main/java/com/github/mobile/util/AvatarLoader.java','False','0','True','getAvatarFilenameForUrl','1','0',0,0,0,0,0,0,0,0,0,0,0,0
